title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,202123,2000-09-19,639,"['Fiction', 'Historical Fiction', 'Novels', 'Literature', 'Historical', 'Literary Fiction', 'Contemporary']",8314,12150,145,3639,8888,28388,67186,94022
Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,4.38,331334,1986-08-12,159,"['Graphic Novels', 'Comics', 'History', 'Nonfiction', 'Memoir', 'Holocaust', 'Biography']",2843,9806,168,5730,8144,32936,92288,192236
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.78,229342,1974-04-01,540,"['Philosophy', 'Fiction', 'Classics', 'Spirituality', 'Travel', 'Psychology', 'Self Help']",1368,10580,17,10067,21004,52011,72928,73332
A Room with a View,E.M. Forster,3.9,182703,1908-01-01,119,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Italy', 'Literature', 'British Literature']",3619,8552,576,3275,10889,43711,67630,57198
Disgrace,J.M. Coetzee,3.85,105590,1999-01-01,220,"['Fiction', 'Africa', 'South Africa', 'Classics', 'Literature', 'Novels', 'Contemporary']",4738,8109,147,2534,6963,24053,42234,29806
Ficciones,Jorge Luis Borges,4.42,67000,1944-01-01,174,"['Fiction', 'Short Stories', 'Magical Realism', 'Fantasy', 'Literature', 'Spanish Literature', 'Philosophy', 'Fiction', 'Short Stories', 'Magical Realism', 'Fantasy', 'Literature', 'Spanish Literature', 'Philosophy', 'Fiction', 'Short Stories', 'Magical Realism', 'Fantasy', 'Literature', 'Spanish Literature', 'Philosophy', 'Fiction', 'Short Stories', 'Magical Realism', 'Fantasy', 'Literature', 'Spanish Literature', 'Philosophy', 'Fiction', 'Short Stories', 'Magical Realism', 'Fantasy', 'Literature', 'Spanish Literature', 'Philosophy']",12500,4147,1818,659,1760,6606,17836,40139
James and the Giant Peach,Roald Dahl,4.03,470273,1961-11-01,176,"['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure', 'Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure', 'Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure']",24600,8904,1432,8595,21519,98233,161181,180745
Brideshead Revisited,Evelyn Waugh,4.01,112152,1945-01-01,351,"['Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Novels', 'British Literature', 'LGBT']",2489,6733,308,2020,5913,22609,40527,41083
Cannery Row,John Steinbeck,4.06,136721,1945-01-01,181,"['Fiction', 'Classics', 'Literature', 'Historical Fiction', 'American', 'Novels', 'Literary Fiction']",22500,7472,784,1187,4938,27388,54815,48393
Gravity's Rainbow,Thomas Pynchon,4.0,43833,1973-02-28,776,"['Fiction', 'Classics', 'Science Fiction', 'Literature', 'Historical Fiction', 'Novels', 'American']",6400,4184,58,2453,3138,6401,11727,20114
I Know This Much Is True,Wally Lamb,4.2,311610,1998-06-14,897,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Mental Health', 'Mental Illness']",7597,10294,14,4878,11124,45599,104138,145871
The Cat in the Hat,Dr. Seuss,4.19,537216,1957-03-12,61,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']",17600,7132,848,13580,24543,87649,133576,277868
The Phantom Tollbooth,Norton Juster,4.2,285228,1961-01-01,248,"['Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Middle Grade', 'Adventure', 'Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Middle Grade', 'Adventure', 'Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Middle Grade', 'Adventure', 'Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Middle Grade', 'Adventure', 'Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Middle Grade', 'Adventure']",971,13203,30,6321,12036,42117,83850,140904
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,305181,1987-01-01,416,"['Fiction', 'Historical Fiction', 'LGBT', 'Classics', 'Queer', 'Historical', 'Chick Lit']",4411,9813,64,2063,6510,41890,108640,146078
Neuromancer,William Gibson,3.9,324328,1984-01-01,268,"['Science Fiction', 'Fiction', 'Cyberpunk', 'Classics', 'Dystopia', 'Science Fiction Fantasy', 'Fantasy']",13400,13863,225,12580,23978,65282,105273,117215
A People’s History of the United States,Howard Zinn,4.08,242333,1980-01-01,729,"['History', 'Nonfiction', 'Politics', 'American History', 'Historical', 'Social Justice', 'Classics']",2496,7078,220,12069,12037,34702,69889,113636
The Notebook,Nicholas Sparks,4.15,1679028,1996-10-01,227,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Classics', 'Adult Fiction']",228000,25114,405,52900,85192,254025,458116,828795
Anne of Avonlea,L.M. Montgomery,4.22,196769,1909-01-14,276,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Historical', 'Romance']",11500,9459,2111,1536,4690,29933,72888,87722
The Alienist,Caleb Carr,4.06,172469,1994-03-15,498,"['Historical Fiction', 'Mystery', 'Fiction', 'Thriller', 'Crime', 'Historical', 'Mystery Thriller']",3157,8520,49,3119,7630,30920,65204,65596
The Hound of the Baskervilles,Arthur Conan Doyle,4.13,342411,1902-03-25,256,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Thriller', 'Audiobook']",22400,12175,11300,2362,9348,61690,135936,133075
To Kill a Mockingbird,Harper Lee,4.26,6068872,1960-07-11,323,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']",13500,116265,84,111948,209904,796217,1807716,3143087
1984,George Orwell,4.19,4547622,1949-06-08,368,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels', 'Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels', 'Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']",43800,113513,995,93413,173852,646770,1484316,2149271
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,9956021,1997-06-26,309,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",225000,160487,529,168868,191982,842759,2307078,6445334
The Great Gatsby,F. Scott Fitzgerald,3.93,5186875,1925-04-10,180,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Romance', 'Literature', 'Novels']",23600,103258,1968,146343,336632,1111363,1754617,1837920
Animal Farm,George Orwell,3.99,3844426,1945-08-17,128,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction', 'Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction']",43800,94339,995,110534,215884,732215,1346306,1439487
The Hobbit,J.R.R. Tolkien,4.29,3932591,1937-09-21,366,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy']",70500,69977,585,84068,128350,474348,1137069,2108756
The Little Prince,Antoine de Saint-Exupéry,4.32,2090941,1943-04-06,96,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult', 'Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult', 'Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']",7875,66777,1173,35774,73246,256045,539241,1186635
Fahrenheit 451,Ray Bradbury,3.97,2392158,1953-10-19,194,"['Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'School', 'Literature', 'Novels']",22600,72805,2262,59304,137807,484606,850984,859457
The Catcher in the Rye,J.D. Salinger,3.8,3498029,1951-07-16,234,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Coming Of Age', 'Novels']",15000,84076,148,176249,302374,749397,1076456,1193553
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.23,2774887,1950-10-16,206,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']",42200,32901,1291,35270,89638,422691,867768,1359520
The Grapes of Wrath,John Steinbeck,4.01,901027,1939-04-14,479,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']",22500,23712,784,34412,58316,154069,275170,379060
One Hundred Years of Solitude,Gabriel García Márquez,4.11,963529,1967-01-01,417,"['Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction', 'Literary Fiction', 'Unfinished', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction', 'Literary Fiction', 'Unfinished', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction', 'Literary Fiction', 'Unfinished']",36100,45109,820,37435,56780,138747,257082,473485
Brave New World,Aldous Huxley,3.99,1840874,1932-01-01,268,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School']",12100,46963,958,42968,100783,365155,659753,672215
Gone with the Wind,Margaret Mitchell,4.31,1204349,1936-06-30,1037,"['Historical Fiction', 'Fiction', 'Romance', 'Classics', 'Historical', 'Literature', 'War']",2913,24111,214,27061,42724,146409,305512,682643
Of Mice and Men,John Steinbeck,3.88,2523779,1937-02-25,107,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels']",22500,51931,784,70627,171216,568099,883652,830185
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,4135277,1999-07-08,435,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook', 'Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook', 'Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",225000,82814,529,23563,39835,282711,952332,2836836
The Giver,Lois Lowry,4.12,2453926,1993-04-26,208,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']",21100,78712,168,47819,109795,412049,807025,1077238
Lord of the Flies,William Golding,3.69,2884083,1954-09-17,182,"['Fiction', 'Classics', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']",3885,55153,141,147047,259927,712930,973182,790997
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1362338,1969-03-31,275,"['Fiction', 'Science Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels']",33400,39216,530,32833,64735,223964,458598,582208
Lolita,Vladimir Nabokov,3.88,843682,1955-09-01,368,"['Classics', 'Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature', 'Classics', 'Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature', 'Classics', 'Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature']",13300,39331,638,33061,60499,177628,278229,294265
East of Eden,John Steinbeck,4.41,534163,1952-01-01,601,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']",22500,28955,784,5839,13062,54103,144367,316792
The Handmaid’s Tale,Margaret Atwood,4.14,2026770,1985-01-01,314,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']",81200,95320,591,40801,84587,309860,716147,875375
The Fellowship of the Ring,J.R.R. Tolkien,4.39,2792015,1954-07-29,398,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']",70500,38786,585,51319,74853,278084,717497,1670262
One Flew Over the Cuckoo's Nest,Ken Kesey,4.2,729056,1962-01-01,325,"['Fiction', 'Classics', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']",2575,15791,71,8293,22732,107849,267468,322714
The Stranger,Albert Camus,4.02,1076565,1942-05-19,159,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature', 'Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature', 'Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']",30000,48172,843,19403,54604,206815,398770,396973
Memoirs of a Geisha,Arthur Golden,4.15,1991966,1997-01-01,503,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'Japan', 'Adult']",2716,35755,11,29828,72812,326818,703131,859377
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,321880,1996-01-17,815,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy']",22300,6306,177,3890,8728,34548,87950,186764
Charlotte’s Web,E.B. White,4.2,1817859,1952-10-15,184,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals', 'Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals', 'Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals', 'Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals', 'Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']",2788,23574,117,35152,66005,288513,541798,886391
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,3886475,1998-07-02,352,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook', 'Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook', 'Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",225000,78632,529,23181,71903,419937,1066231,2305223
The Chronicles of Narnia,C.S. Lewis,4.27,646538,1956-01-01,767,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Middle Grade', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Middle Grade', 'Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Middle Grade']",42200,12467,1291,6427,18533,90637,206799,324142
A Wrinkle in Time,Madeleine L'Engle,3.98,1196203,1962-01-01,218,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']",8605,39379,183,38041,74767,234028,373065,476302
The Old Man and the Sea,Ernest Hemingway,3.8,1137228,1952-09-01,96,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure']",28900,39092,1700,48504,93297,259317,371455,364655
Ender’s Game,Orson Scott Card,4.31,1366123,1985-01-15,324,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia']",19500,49394,859,23388,42054,158421,409127,733133
The Giving Tree,Shel Silverstein,4.38,1118160,1964-01-01,64,"['Childrens', 'Classics', 'Fiction', 'Picture Books', 'Poetry', 'Young Adult', 'Fantasy']",9769,22020,111,29481,35163,113997,242203,697316
The Return of the King,J.R.R. Tolkien,4.56,894434,1955-10-20,385,"['Fantasy', 'Fiction', 'Adventure', 'Classics', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']",70500,18048,585,4596,11926,63846,209043,605023
The Two Towers,J.R.R. Tolkien,4.48,958099,1954-11-11,322,"['Fantasy', 'Fiction', 'Adventure', 'Classics', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']",70500,18954,585,5418,15402,84393,259851,593035
Night,Elie Wiesel,4.37,1235433,1956-01-01,115,"['Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School', 'Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School', 'Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School', 'Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School', 'Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School']",4223,37490,227,13940,28590,133091,369109,690703
A Tree Grows in Brooklyn,Betty  Smith,4.29,462487,1943-08-18,496,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'New York']",1677,26815,24,5078,12673,58709,150840,235187
The Bell Jar,Sylvia Plath,4.05,943698,1963-01-01,294,"['Fiction', 'Feminism', 'Classics', 'Mental Health', 'Psychology', 'Literature', 'Literary Fiction']",22600,54378,270,14406,43603,176406,352357,356926
Watership Down,Richard  Adams,4.08,478790,1972-11-01,478,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure']",1933,17318,114,15500,23573,77069,152625,210023
The Alchemist,Paulo Coelho,3.91,3021880,1988-01-01,182,"['Fiction', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help', 'Classics']",133000,118998,303,134565,237306,587112,873528,1189369
Anne of Green Gables,L.M. Montgomery,4.31,970034,1908-01-01,320,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']",11500,38314,2111,14989,30025,123163,274332,527525
In Cold Blood,Truman Capote,4.09,654265,1959-01-01,343,"['Nonfiction', 'Classics', 'True Crime', 'Crime', 'Mystery', 'History', 'Thriller']",6348,23459,338,15706,27545,108473,235245,267296
Green Eggs and Ham,Dr. Seuss,4.31,770132,1960-06-01,64,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']",17600,11404,848,15853,26645,102357,184389,440888
The Color Purple,Alice Walker,4.27,677868,1982-06-01,304,"['Fiction', 'Historical Fiction', 'Feminism', 'Classics', 'LGBT', 'Historical', 'Queer']",6468,25196,267,8209,19285,88566,229277,332531
Atlas Shrugged,Ayn Rand,3.69,388974,1957-10-10,1168,"['Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels', 'Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels', 'Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels']",9365,20015,406,39754,35961,69944,102752,140563
